position_name,company_name,salary,work_city,work_exp,education,company_size,company_type,industry,position_url,job_summary,welfare,salary_count
小象事业部-计划专家SU,北京三快在线科技有限公司,面议,上海,1-3年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40614073309.htm,小象超市为美团自营零售业务，定位为社区居民的“30分钟快送超市”，采用“手机App+线下服务站”的模式，通过在社区设立的集存储、分拣、配送为一体的便民服务站，为社区居民提供生鲜食杂日用及配送服务。目前，小象超市已在北京、上海、深圳、广州、武汉、苏州、杭州等多个城市上线。在美团“零售+科技”战略聚焦下，小象超市承载着“深耕即时零售，提升消费体验”的任务，是公司在线上零售探索的核心业态之一，给一二线城...,,
媒介主管,上海温蒂电子商务有限公司,1万-1.5万,上海,1-3年,大专,100-299人,民营,电子商务,http://www.zhaopin.com/jobdetail/CC883947120J40684919111.htm,岗位职能：1、根据产品定位进行媒介策略规划 （3C品类），包含不同渠道的平台投放策略，预算分配及传播节奏；配合新品上市节奏，制定媒介推广方案，形式不限于种草商销、明星直播等营销一体化策略。2、媒介资源管理，挖掘内容渠道高质量KOL资源包括但不限于抖音、小红书、快手、微视频并进行合作，维持续护更新自有媒介资源库。3、达人把控及内容审查；结合产品属性及宣传卖点审查达人的内容，达到品效合一的目的；4、管...,,
本地生活运营（点评/美团）,上海车掌门网络科技有限公司,8千-1.5万,上海,1-3年,本科,20人以下,民营,在线生活服务（O2O）,http://www.zhaopin.com/jobdetail/CCL1481336160J40679233408.htm,工作内容：1) 品牌旗下所有门店的大众点评美团商家运营；2) 对大众点评美团数据进行分析并提出改善建议。3) 对大众点评平台活动申请；4) 负责点评店铺线上平台维护/更新/推广；5) 保持对内外市场敏感度，及时分析市场动态及复盘数据，及时调整推广方案，为品牌推广提供相关的策划运营方案；2、任职要求1) 熟悉大众点评美团商家平台的运营规则；熟悉大众点评以及其他相关平台运营方式、推广方式和操作模式，对...,,
大模型业务运营,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40667329409.htm,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销、前端技术基础设施建设以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里...,,
MCN销售经理(A208902),北京百车宝科技有限公司,3万-5万,上海,1-3年,本科,100-299人,民营,互联网,http://www.zhaopin.com/jobdetail/CC202129530J40431451001.htm,职位描述：1.贯彻执行公司的销售策略，负责商机转化，寻找潜在客户，发掘分析客户需求，制定创意方案，推动客户成交；负责维护客户关系，完成销售任务；2.负责销售项目的推进落实和控制，对团队业绩负责；3.收集市场、客户及竞争产品相关信息及动态，并提出合理化建议。职位要求：1.本科及以上学历，具备一定的媒体销售经验；2.具备综合类网站汽车模块/频道，或汽车行业垂直类网站/自媒体/MCN销售经验；3.良好沟...,"五险一金,有餐补,交通补助,补充医疗保险,体检福利,带薪旅游",
CVS策略部经理,内蒙古蒙牛乳业(集团)股份有限公司,2万-3万,上海,3-5年,本科,10000人以上,国企,农/林/牧/渔,http://www.zhaopin.com/jobdetail/CC000605800J40586809013.htm,1.完成公司下达的重点便利渠道业绩指标；制定客户年度生意发展规划，并落实追踪执行情况；2.负责所有便利渠道客户标准化管理：必备SKU、货架份额、陈列达成、价格体系、生动化等；3.负责与重点便利渠道客户开展品类管理项目试点与推广；4.负责便利渠道营销规划，结合系统、到家平台及品牌的营销日历及KA体系及集团年度的核心资源实现方案向零售系统的方案落地5.负责便利渠道行销标准化统筹及落地工作6.完成公司要...,,
小象事业部-计划专家SH,北京三快在线科技有限公司,面议,上海,1-3年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40669504809.htm,小象超市为美团自营零售业务，定位为社区居民的“30分钟快送超市”，采用“手机App+线下服务站”的模式，通过在社区设立的集存储、分拣、配送为一体的便民服务站，为社区居民提供生鲜食杂日用及配送服务。目前，小象超市已在北京、上海、深圳、广州、武汉、苏州、杭州等多个城市上线。在美团“零售+科技”战略聚焦下，小象超市承载着“深耕即时零售，提升消费体验”的任务，是公司在线上零售探索的核心业态之一，给一二线城...,,
BDM-上海(J33094),北京五八信息技术有限公司,1万-1.5万,上海,无经验,大专,10000人以上,合资,互联网,http://www.zhaopin.com/jobdetail/CC330611210J40692068303.htm,工作职责1、带领销售团队拓展、开发制造业行业新客户或维护老客户，销售公司网络招聘相关产品为客户解决用人需求，对团队的整体销售业绩负责； 2、引进和保留优秀的销售人才，对下属给予培训和指导，持续提升其业务能力，提升团队人均单产。创建和完善团队管理办法与相关流程，使团队具备优秀的业务能力和良好的工作状态； 3、及时分析相关的数据，根据市场发展和公司业绩要求，分解团队工作计划与目标，并及时给予督导和支持...,,
行业运营经理,上海从鲸信息技术有限公司,2万-4万,上海,5-10年,本科,10000人以上,民营,互联网,http://www.zhaopin.com/jobdetail/CCL1482748030J40687319812.htm,岗位职责：1、根据平台需求，制定优质商家的定向招商计划，招募具有跨境经验的卖家入驻，能针对目标企业的需求，结合平台的特点及发展方向，找到双方的共同利益点，提升商家对平台合作意愿；2、对商家分类分层管理，按照商家特征及商圈发展方向，制定对应的运营策略；3、帮助新入驻的优质商家快速落地和发展，引导品牌做好发展规划，包括市场定位、商品规划、品牌营销、运营策略等；4、善于分析数据，能够出具行业分析报告，并...,,16薪
运营经理（摄像、写真类）,上海清美绿色食品(集团)有限公司,1万-2万,上海,3-5年,大专,1000-9999人,合资,快速消费品,http://www.zhaopin.com/jobdetail/CC170002110J40649770202.htm,【岗位职责】1. 全面负责写真馆的日常运营和管理的各项事务；2. 实现写真馆销售目标，制定并执行有效的营销策略，提升写真馆业绩；3. 落实标准化店务流程、各岗位服务流程、细节品质的整体把控，确保服务质量，维护写真馆形象；4. 负责写真馆员工的面试、入职培训、排班等，沟通激励团队成员，营造积极向上的工作氛围，促进团队成长；5. 优化客户体验，处理客户投诉，提升客户满意度和忠诚度；6. 负责写真馆财务...,,
车载营销经理,西安龙飞网络科技有限公司,2万-4万,上海,3-5年,本科,100-299人,上市公司,通信/网络设备,http://www.zhaopin.com/jobdetail/CC698499720J40668475103.htm,岗位职责： 1.开发日本车载电子业务新客户，维护客户的良好合作关系； 2.制定销售计划，完成销售目标；签订销售合同和销售订单； 3.制定销售计划，完成销售目标；签订销售合同和销售订单； 任职要求： 1.3年以上车载产品销售经验；有日本市场开拓的经历。 2.40岁以下，本科学历及以上 3.有日本车厂及Tire1客户资源；有日本车载TBOX产品销售经验；具有良好的日语沟通能力；责任心强，条理清楚，做事...,,
半导体靶材销售经理(J15328),广东先导稀材股份有限公司,1.8万-3.5万,上海,1-3年,大专,1000-9999人,民营,化工,http://www.zhaopin.com/jobdetail/CC268804910J40792520404.htm,"岗位职责:1、负责半导体靶材,化学品及同类产品在集成电路行业的市场开发、产品推广和销售；2、协助上级调整和实施销售策略、销售计划，并完成销售任务；3、渠道资源丰富，能够独当一面地维护客户关系，并能迅速地拓展新客户新订单；4、协助销售助理及客服部门进行订单的管理和执行。任职要求:1、2年以上集成电路行业前道制程与后道封测的相关从业经验；有同类产品的客户资源或出色销售业绩者优先；3、 有较强的沟通能力...",,
超旗舰营销经理（尊界）,华为技术有限公司,面议,上海,经验不限,大专,10000人以上,民营,运营商/增值服务,http://www.zhaopin.com/jobdetail/CC000542940J40707212714.htm,岗位职责：1.结合尊界产品营销目标，客观诊断营销现状，识别问题，制定整合营销目标、策略、预算配置；2.负责产品生命周期的全过程整合营销，包含新车上市、平销、退市，对产品营销的传播心智、热度和线索获客负责；3.对外横向拉通，与公司产品线、零售、服务等团队互锁传播和获客目标，协调营销资源；4.对内整合营销策略统战，拉齐公关、社媒、媒介等团队落地营销策略，追踪达成营销目标，对结果进行复盘，完成营销效果评...,,
增长运营（媒介投放）,外企德科,8千-1万,上海,1-3年,大专,1000-9999人,合资,人力资源服务,http://www.zhaopin.com/jobdetail/CC138117190J40727403405.htm,岗位职责：1、负责得物信息流市场的用户获取，深入了解信息流广告投放机制、优化策略，优化数据；2、负责广告方案的策划和执行，跟踪广告数据，为带来的用户数量及质量负责，产出投放报表;3、熟悉主流投放媒体包括但不限于（头条，腾讯，快手）的流量情况，与媒体保持良好沟通，了解行业新的获量模式，评估并选择适合产品的新功能进行测试并取得相应的结果;4、理解目标市场用户群体，把握受众心理，优化投放目标，能优化视频...,,
供应链主管（业务BP）,上海展志实业集团有限责任公司,6千-1万,上海,1年以下,本科,1000-9999人,民营,贸易/进出口,http://www.zhaopin.com/jobdetail/CC147842580J40674886302.htm,工作职责1、根据公司岗位要求，通过多渠道学习，快速理解公司业务及供应链流程；2、对接大客户经理的业务做跟单及服务；3、公司给予的客户进行维护；4、对于工作思路，可大胆提出自己的想法，全面施展自己的才华；5、完成上级领导交付的其他临时性工作，并及时汇报各项工作进展、结果，监督落实。任职资格1、能源与材料、市场营销、经济管理等院系专业统招本科学历、会开车；2、具备一年以上同岗位经验且愿意往供应链业务B...,,
行业运营负责人（LE方向）,北京三快在线科技有限公司,面议,上海,5-10年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40665308009.htm,商业增值部是服务于美团核心本地商业客户的增值服务平台，覆盖餐饮、即时零售、医药、休闲娱乐、丽人医美、生活服务、酒旅度假等业务领域。我们致力于构建健康的本地商业生态，通过为平台客户和消费者提供符合其需求的多元、便捷、高效的商业产品和服务，帮助生态伙伴提高效率、优化经营、实现持续健康发展，推动本地商业数字化营销的发展，促进商业生态繁荣。作为本地商业的头部平台，我们为产品、运营、商务、技术、商业分析等领...,,
媒介投放经理/专员,飞科电器,1万-2万,上海,3-5年,本科,1000-9999人,上市公司,耐用消费品,http://www.zhaopin.com/jobdetail/CC267206710J40627743106.htm,岗位职责：1、根据品牌市场和产品策略，制定市场推广、产品种草规划，满足产品&品牌推广和电商活动的需求；2、负责新媒体平台（小红书，抖音，微博，微信，B站）内容效果投放把控，包括但不限于，效果投放策略制定，投放数据的分析优化，内容创意产出。3、及时掌握当下新媒体渠道的热点及掌握重要的时间节点，不断优化投放效果，为品牌梳理并制定和落实内容投放策略打法，并监测投放结果，为内容投放效果KPI负责。4、沟通...,,
品牌媒介经理,上海量欣科技有限公司,1万-1.8万,上海,5-10年,本科,20-99人,民营,互联网,http://www.zhaopin.com/jobdetail/CCL1329681930J40684367401.htm,品牌媒介经理岗位职责：1、媒介商务工作内容，负责达人、MCN商务合作洽谈、价格谈判，取得最优政策，挖掘与维护优质KOL、KOC资源；2、能站在项目负责人的角度承接业务，为输出内容负责，从理解品牌内容、对接brief、达人内容产出和审核发布等优化内容正向输出，并持续跟踪推广结果数据；3、满足产品及品牌的推广需求，策划制定市场推广、产品种草规划。理解媒介策略，具备一定的竞品分析、用户洞察和简单方案撰写...,,
平台运营主管,上海数智世界工业科技集团有限公司,1.5万-2万,上海,5-10年,本科,1000-9999人,民营,纺织业/服饰产品加工制造,http://www.zhaopin.com/jobdetail/CCL1468463130J40796889815.htm,岗位职责：1、负责棉纱销售平台运营，针对纱线用户群体、运营规则、产品特点和市场状况制定运营规划，建立高效的运营管理体系，打造平台的核心竞争力并完成公司下达的运营指标；2、基于公司业务场景，设计并推行流程管理体系，负责公司内部业务流程的分析、优化和重构，提高业务的效率和质量；3、负责平台业务的数据管理、分析，掌握整个流程的实时数据和各个环节的关键指标，有效量化跟踪结果性指标以及关键的过程指标为业务运...,,
内容标签运营专家,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40596693909.htm,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,,
Textin的运营负责人,西安航天基地德创电子科技有限公司,4万-5万,上海,5-10年,本科,100-299人,民营,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1421518380J40689956414.htm,"工作职责1. 负责公司旗下TextIn、文档解析等多款产品的行业渠道拓展、运营工作;2. 带领团队,为整体线索商机转化供给负责。通过流量挖掘、端外投放、市场活动及转化效率管理3. 搭建商机策略平台，提升策略响应时效，联动算法&BI构建并沉淀策略标签；4. 为运营团队制定客户增长策略,设计团队及配合机制落地定制化客户策略。5. 渠道投放：通过SEO/SEM/公众号等渠道投放，提升B端用户增长 任职资...",,
seo/高级推广,鲨鱼股份,1.5万-1.6万,上海,3-5年,大专,100-299人,民营,石油/石化,http://www.zhaopin.com/jobdetail/CC478471710J40698862007.htm,岗位职责：1. 负责制定并执行全面的SEO策略，提升网站在搜索引擎中的排名和流量。2. 分析关键词和竞争对手，优化网站内容和结构，提高网站的搜索可见性。3. 负责监测和分析网站流量、排名和转化率数据，及时调整SEO策略。4. 与内容团队合作，优化网站内容，提升用户体验和搜索引擎友好度。5. 跟踪SEO行业动态和算法更新，及时调整策略，保持网站的优势地位。任职要求：1. 大专及以上学历，计算机、市场...,,
内容运营（医疗行业）,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40621343309.htm,美团买药是美团旗下的医药健康业务板块，2020年作为独立品牌发布，在“让健康相伴每个人”的使命驱动下，希望能成为中国家庭首选的购药和用药服务平台。目前，美团买药的业务版块包括即时零售、快递电商、互联网医疗、创新业务（如居家快检）等版块，合作药店超过25万家，覆盖全国近3000个市区县旗，在超过1000多个县城开设了24小时数字化药店；同时也与华润三九、哈药、济川、拜耳、强生、GSK、欧加隆、辉瑞、...,,
HCM产品营销经理,浪潮集团,1.2万-2.4万,上海,3-5年,本科,10000人以上,国企,IT服务,http://www.zhaopin.com/jobdetail/CC120143600J40802703215.htm,岗位职责：1、产品营销分析：浪潮海岳HCM Cloud产品竞品分析，梳理产品卖点、亮点；组织课程开发，开展产品赋能培训；推动上市宣传，包括品牌活动、营销活动等；2、产品营销计划开发与管理：产品目标市场研究、梳理特性价值、细分市场分析及销售预测；制定产品营销计划，开发营销工具；精准落地于行业及区域，支撑拉动产品销售；3、市场管理与大项目支持：重大项目支持，对客户反应的产品问题进行跟进，对产品竞争力进...,,
供应链经理,上海致敬科技有限公司,2万-3万,上海,3-5年,本科,20-99人,民营,医疗设备/器械,http://www.zhaopin.com/jobdetail/CCL1250436480J40668782104.htm,职能要求：1. 考察供应商，挑选供应商，对供应商进行合同、订单、成本、物流、仓储、售后、质量等工作的系统化管理2.要求，有塑料、电子、小家电、机械自动化、汽车、3C类产品等行业的供应链管理经验。任职要求：1. 本科学历，物流、供应链管理或相关领域；2. 熟悉塑料制品、母粒、塑料膜、塑料制品加工等厂商3. 3年及以上供应链管理经验，具有成功策划和实施供应链战略的经历；4. 具备出色的沟通协调能力、团...,,
用户增长产品经理,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40651249109.htm,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,,
国内渠道投放负责人,西安航天基地德创电子科技有限公司,4万-5万,上海,经验不限,本科,100-299人,民营,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1421518380J40686435814.htm,【岗位职责】1.负责扫描全能王App在国内信息流、商店、搜索等渠道的投放，尤其擅长信息流渠道，例如字节、腾讯、快手等渠道的增长投放，基于产品考核目标，制定增长投放方法，对产品的投放效果负责；2.对外协调沟通媒体、代理，推动广告投放落地；对内协同产品、数分、技术等部门优化投放效果；3.对投放链路、各个投放细节深度熟悉，能够及时发现投放问题并针对性解决；4.能够结合用户分析、渠道分析、行业动态等探索新...,,
SFE经理,北京医百科技有限公司,2.5万-3.5万,上海,1-3年,本科,300-499人,合资,企业服务,http://www.zhaopin.com/jobdetail/CC431519230J40799619215.htm,一、职责概述策略规划与目标设定SFE 经理需要根据公司的整体销售战略，制定销售效能提升计划。例如，确定年度销售团队的效率提升目标，如将销售周期缩短一定比例（比如从平均 90 天缩短至 70 天），或者提高销售团队的赢单率（从 30% 提升至 35%）。与高层管理团队合作，确保销售效能策略与公司的财务目标、市场定位和产品战略相匹配。例如，如果公司计划推出一款高性价比的新产品，SFE 经理要规划如何让...,,
用户产品（场景导购方向）,北京三快在线科技有限公司,面议,上海,1-3年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40678085109.htm,美团到综事业部涵盖洗浴、足疗按摩、KTV、密室剧本娱乐、运动健身、宠物、酒吧、丽人、医美医疗、教育培训、亲子、结婚、家居、家政洗涤维修等数十个重点生活服务细分行业。我们为近200个本地生活服务行业提供营销、经营等数字化服务，链接本地消费需求和本地商家优质服务，搭建信息和交易平台，并提供高质量的履约服务保障。我们通过将信息及服务的线上化和标准化，为用户提供更多美好生活方式的选择，帮助商户在平台上更好...,免费健身,
Brand Manager-Cross Category,安利（中国）日用品有限公司,2.5万-3万,上海,5-10年,本科,1000-9999人,外商独资,快速消费品,http://www.zhaopin.com/jobdetail/CC000034110J40522288402.htm,"岗位职责:Responsibility • Support “Heathy aging” business platform development including portfolio design, go to market planning & execution, and consolidate cross team efforts to roll out “Healthy-aging ...",,13薪
高级媒介专员/主管（CPS运营）,北京中信书店有限责任公司,7千-1.2万,上海,1-3年,本科,500-999人,国企,零售/批发,http://www.zhaopin.com/jobdetail/CC419477310J40714874305.htm,岗位名称：高级媒介专员/主管（CPS运营）一、劳动用工标准1.用工性质：中信书店本部正式编制；2.合同期：首次合同3年以上；3.试用期：6个月。入职1-3个月按合同工资标准的80%发放，入职第4个月起按合同工资的100%发放。二、福利待遇1.六险二金（保险实缴、公积金12%、补充医疗、企业年金）及其他商业保险、年度体检；2.工会福利：年节日、员工生日，全年福利合计不低于2400元；3.员工茶歇12...,"正式编制,六险二金,补充医疗保险,企业年金,体检福利,绩效奖金,有餐补",
用户运营,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40621487809.htm,美团到综事业部涵盖洗浴、足疗按摩、KTV、密室剧本娱乐、运动健身、宠物、酒吧、丽人、医美医疗、教育培训、亲子、结婚、家居、家政洗涤维修等数十个重点生活服务细分行业。我们为近200个本地生活服务行业提供营销、经营等数字化服务，链接本地消费需求和本地商家优质服务，搭建信息和交易平台，并提供高质量的履约服务保障。我们通过将信息及服务的线上化和标准化，为用户提供更多美好生活方式的选择，帮助商户在平台上更好...,免费健身,
用户增长经理,上海美志人才服务有限公司,3万-5万,上海,3-5年,本科,20人以下,民营,咨询服务,http://www.zhaopin.com/jobdetail/CC348935610J40635509007.htm,用户增长高级经理（副总监） 岗位职责：1、负责制定并执行私域用户增长策略，包括但不限于社群构建、内容营销、用户裂变等，实现用户规模的有效增长。2、分析用户行为数据，挖掘用户需求，优化用户增长路径，提升用户活跃度和留存率。3、搭建并优化私域流量池，建立高效的用户运营体系，提升用户转化率和复购率。4、跨部门协作，与产品、技术等部门紧密配合，共同推动产品优化和用户体验提升。5、监控并评估用户增长效果，定...,,13薪
海外广告客户经理（AM）,雨果跨境(厦门)科技有限公司,1.2万-2.4万,上海,1-3年,本科,300-499人,民营,互联网,http://www.zhaopin.com/jobdetail/CC441123820J40583376703.htm,岗位职责：1、负责客户海外广告账户相关问题解答并响应，为客户提供日常服务；2、负责客户在Google/Facebook/Tiktok等广告平台上的海外广告投放工作；3、定期对在投渠道的效果进行整体分析，根据数据分析结果优化广告投放方案，持续精准化广告投放；4、完成每周、每月的相关数据报表，并能从数据报表中发掘问题所在，找到相关规律，提供建设性意见，根据账户投放效果分析数据，结合客户需求，制定下一步...,,
用户增长产品专家,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40644540609.htm,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,,
AI b端运营负责人,西安航天基地德创电子科技有限公司,4万-5万,上海,1-3年,本科,100-299人,民营,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1421518380J40686996514.htm,"【工作职责】1. 负责公司旗下textin、文档解析等多款产品的投放分析工作,为用户增长投放模式搭建科学的评估体系;2. 负责营销中台数据能力的搭建,根据业务需要产出需求,配合产研不断提升营销中台的业务能力;3. 负责通过产品手段提升各个投放场景的触达转化承接效率;4. 负责营销数据体系的搭建,与公司内产品、研发和BI等部门充分协同,实现业务推动和提效;5. 负责专项营销项目的效果评估体系制定与搭...",,
私域主管,上海鑫江洋供应链管理有限公司,1万-1.3万,上海,5-10年,大专,100-299人,,食品/饮料,http://www.zhaopin.com/jobdetail/CCL1396028550J40607483612.htm,岗位职责：1、制定私域电商、私域社群渠道年度经营目标、费用预算及月度计划不限于(用户拉新，转化，留存，复购，销售，ARPU等关键指标)；2、负责私域电商部门团队的搭建、员工管理、流程制度的制定；3、负责私域电商运营模式，不限于公众号、小程序、微商城等运营规则的制定，对输出内容审核并进行效果复盘；4、对公司产品的品牌推广活动进行效果评估和渠道的对接，建立专业的数据分析模板和流程；5、策划营销推广、促...,,
用户增长高级专家（广告投放方向）,北京三快在线科技有限公司,面议,上海,1-3年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40596189809.htm,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,,
国央企客户运营经理,帆软软件有限公司,2万-2.8万,上海,3-5年,本科,1000-9999人,民营,计算机软件,http://www.zhaopin.com/jobdetail/CC821875130J40601954403.htm,工作职责：（1）负责一个或多个央国企体系客户运营，结合体系情况自主设计体系运营目标，实现规模增长（2）负责央国企体系客户机会点洞察，输出运营策略和打法，推动机会点转化（3）负责央国企体系客户战役组织与执行，拆解战役任务并跨部门协同主责人，推动战役高效执行落地（4）负责央国企体系客户重点客户攻坚，协调公司资源投入，并深入一线作战协助关单（5）负责央国企体系客户业务数据分析，通过数据发掘运营切入点，推...,,13薪
程序化广告运营,诺斯人力资源服务(深圳)有限公司,1.5万-2.5万,上海,3-5年,大专,20-99人,外商独资,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1409866310J40693964210.htm,岗位职责：1.负责DSP客户日常运营工作；2.充分理解客户需求，并深挖客户需求点，制定优化策略；3.分析数据，并从中找出改善部分，制定解决方案，推动业务增长；4.与客户保持并建立稳定的沟通机制；5.对接媒介、产品、技术团队，推进公司现有广告业务的技术落地；6.制作周期性分析报告和总结报告。 任职资格: 1.了解RTB广告竞价原理，有SSP的流量运营能力； 2.有3年以上程序化媒体运营相关经验； 3...,,
医美行业运营/医美品类运营,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40628835309.htm,美团到综事业部涵盖洗浴、足疗按摩、KTV、密室剧本娱乐、运动健身、宠物、酒吧、丽人、医美医疗、教育培训、亲子、结婚、家居、家政洗涤维修等数十个重点生活服务细分行业。我们为近200个本地生活服务行业提供营销、经营等数字化服务，链接本地消费需求和本地商家优质服务，搭建信息和交易平台，并提供高质量的履约服务保障。我们通过将信息及服务的线上化和标准化，为用户提供更多美好生活方式的选择，帮助商户在平台上更好...,免费健身,
社群运营,上海协进共生数字科技有限公司,8千-1万,上海,经验不限,本科,100-299人,民营,培训/辅导服务,http://www.zhaopin.com/jobdetail/CC000643560J40382225503.htm,岗位职责：1、负责用户社群架构和载体的搭建与运营；2、负责微信社群的规划以及执行，整体负责社群内容，社群氛围的营造，打造高粘性的社群；3、持续挖掘用户需求，探索更好满足用户需求的运营机制，整合内外部各种资源，通过持续不断的运营手段，提升关注用户的活跃度和粘度；4、核心用户的挖掘和互动，维系社群活跃度，与用户互动和保持联系，制造感兴趣的话题；5、深挖社群用户需求，定期组织有效培训；6、与社群会员保持...,"五险一金,绩效奖金,年终分红,带薪假期,节日慰问",
产品经理,鸣志电器,1万-1.5万,上海,3-5年,本科,1000-9999人,上市公司,电气机械/电力设备,http://www.zhaopin.com/jobdetail/CC205033610J40582512809.htm,岗位职责:1、对于国贸和集团的客户群体，引进日本有竞争力的产品；2、负责对产品线进行管理，不定期维护原厂的关系；3、就所负责的产品线，积极调研国内市内的需求；4、能协同并帮助销售人员进行市场的开发工作。 任职要求:1、本科毕业，日语1级，听说读写流畅，有3年以上和日语相关的工作；2、从事过元器件产品经理类的工作，负责海外（特别是日本）的器件产品线，或者在一些制造企业或者贸易公司，做过相关的日企供应...,,14薪
小象超市-南京PC仓运营主管,北京三快在线科技有限公司,面议,上海,3-5年,大专,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40615475909.htm,小象超市为美团自营零售业务，定位为社区居民的“30分钟快送超市”，采用“手机App+线下服务站”的模式，通过在社区设立的集存储、分拣、配送为一体的便民服务站，为社区居民提供生鲜食杂日用及配送服务。目前，小象超市已在北京、上海、深圳、广州、武汉、苏州、杭州等多个城市上线。在美团“零售+科技”战略聚焦下，小象超市承载着“深耕即时零售，提升消费体验”的任务，是公司在线上零售探索的核心业态之一，给一二线城...,,
PM-产品线经理,上海域驱科技有限公司,1.3万-2.3万,上海,1-3年,本科,20人以下,民营,电子/半导体/集成电路,http://www.zhaopin.com/jobdetail/CCL1479780590J40505327004.htm,岗位职责： 1、对产品的了解及相关技术的学习，了解产品的整个市场情况； 2、负责公司代理汽车电子业务的市场推广和管理，制定相关市场策略； 3、维持与供应商各层面人员的良好关系； 4、协调原厂及公司内部相关资源，实现对客户的支持，为客户提供完善的解决方案； 5、及时掌握原厂、竞争对手及行业趋势、动态，结合产品线，提出建议； 6、挖掘销售机会，开发推广有潜力的市场，并紧密地与销售及其他团队配合，具备良...,,13薪
